PROVINCE,AKP,CHP,MHP,HDP,OTHERS,VALID11,AKPP11,CHPP11,MHPP11,HDPP11,OTHERS11
ELAZIG,0.529,0.069,0.20600000000000002,0.154,0.041999999999999885,316733,0.6740999999999999,0.1318,0.1446,0.0,0.049499999999999884
ERZINCAN,0.49200000000000005,0.253,0.165,0.057999999999999996,0.03200000000000003,128263,0.5709000000000001,0.3034,0.0931,0.0,0.03259999999999991
ERZURUM,0.52,0.031,0.23199999999999998,0.17800000000000002,0.039000000000000055,409745,0.6922,0.0484,0.1331,0.0814,0.04489999999999995
ESKISEHIR,0.36200000000000004,0.38799999999999996,0.16699999999999998,0.04,0.04299999999999997,504033,0.441,0.3553,0.146,0.005600000000000001,0.05210000000000008
GAZIANTEP,0.47,0.16399999999999998,0.17800000000000002,0.153,0.035,828241,0.6169,0.1931,0.094,0.053899999999999997,0.042099999999999936
GIRESUN,0.535,0.21899999999999997,0.183,0.013999999999999999,0.04899999999999991,259991,0.5938,0.2369,0.1191,0.0,0.05019999999999996
GUMUSHANE,0.5670000000000001,0.054000000000000006,0.31,0.019,0.05,69524,0.6502,0.07769999999999999,0.2158,0.0004,0.05590000000000003
HAKKARI,0.095,0.013999999999999999,0.026000000000000002,0.852,0.012999999999999972,118593,0.16469999999999999,0.009000000000000001,0.0103,0.7981999999999999,0.01780000000000001
HATAY,0.381,0.359,0.139,0.069,0.05199999999999989,795632,0.44439999999999996,0.38520000000000004,0.1263,0.0148,0.029299999999999927
IGDIR,0.11699999999999999,0.039,0.267,0.5589999999999999,0.018000000000000113,80816,0.2829,0.017,0.34090000000000004,0.3148,0.044399999999999974
ISPARTA,0.442,0.221,0.267,0.022000000000000002,0.04799999999999983,256007,0.529,0.21719999999999998,0.1891,0.0038,0.06090000000000004
ISTANBUL,0.41100000000000003,0.29100000000000004,0.11,0.126,0.06200000000000003,7960907,0.4938,0.3131,0.09390000000000001,0.053399999999999996,0.04579999999999998
